cartodb_id,the_geom,carcinogen,metal,clean_air_act_chemical,geoid11,geoid,doc_ctrl_num,unnamed_0_1,unnamed_0,serialid,parent_company_db_number,n_8_4_recycling_on_site,n_8_1b_on_site_other_releases,n_8_1a_on_site_contained_releases,n_6_2_m69,n_6_2_m40,n_6_2_m28,n_6_2_m20,n_6_2_m99,n_6_2_m73,n_6_2_m65,n_6_2_m67,n_6_2_m66,n_6_2_m63,n_6_2_m82,n_6_2_m81,n_6_2_m71,n_6_2_m62,n_6_2_m41,n_6_2_m10,n_5_5_3b_other_surface_impoundment,n_5_5_3a_rcra_c_surface_impoundment,n_5_5_2_land_treatment,n_5_5_1a_rcra_c_landfills,n_5_4_2_underground_class_ii_v,n_5_4_1_underground_class_i,metal_category,primary_naics,sic_6,sic_5,sic_4,sic_3,sic_2,primary_sic,zip,year,field_1,parent_company_name,unit_of_measure,form_type,classification,cas_compound_id,chemical,naics_6,naics_5,naics_4,naics_3,naics_2,st,county,city,street_address,facility_name,tri_facility_id,longitude_y,latitude_y,n_8_9_production_ratio,n_8_8_one_time_release,production_waste_8_1_thru_8_7,n_8_7_treatement_off_site,n_8_6_treatment_on_site,n_8_5_recycling_off_site,n_8_3_energy_recovery_off_site,n_8_2_energy_recovery_on_site,n_8_1d_off_site_other_releases,n_8_1c_off_site_contained_releases,n_8_1_releases,total_releases,off_site_treated_total,n_6_2_m95,n_6_2_m61,n_6_2_m54,n_6_2_m50,off_site_recovery_total,n_6_2_m92,n_6_2_m56,off_site_recycled_total,n_6_2_m93,n_6_2_m26,n_6_2_m24,off_site_release_total,n_6_2_m94,n_6_2_m90,n_6_2_m79,n_6_2_m64,n_6_2_m72,n_6_1_potw_total_transfers,n_6_1_potw_non_metals,n_6_1_potw_metals_and_metal_compounds,on_site_release_total,n_5_5_4_other_disposal,n_5_5_3_surface_impoundment,n_5_5_1b_other_landfills,n_5_3_water,n_5_2_stack_air,n_5_1_fugitive_air,longitude_x,latitude_x
439,0101000020E6100000056A317898DE52C0F47002D369234540,false,false,true,36017970900,360179709002000,1300145149290,303,105,439,43857812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221112,,,,,,4911,137330189,2000,438,AES CORP,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,CHENANGO,BAINBRIDGE,RTE. 7,AES JENNISON LLC,13733SJNNSRTE7,-75.478056,42.276667,,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,-75.478056,42.276667
440,0101000020E61000000FB743C362FE52C0F48AA71E690E4540,false,false,true,36007013000,360070130002000,1300145149353,439,141,440,43857812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221112,,,,,,4911,137901839,2000,439,AES CORP,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,BROOME,JOHNSON CITY,720 RIVERSIDE DR,AES WESTOVER,13790SWSTV720RI,-75.974778,42.112583,,0,0.6,0,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.6,0,-75.974778,42.112583
693,0101000020E61000002D431CEBE25C52C090662C9ACE5A4640,false,false,true,36019100900,360191009002000,1300140098839,692,190,693,9020777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322121,,,,,,2621,12901,2000,692,GEORGIA-PACIFIC CORP,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,CLINTON,PLATTSBURGH,327 MARGARET ST,GEORGIA-PACIFIC CORP,12901GRGPC327MA,-73.45135,44.70943,1,0,0.31121,0,0,0,0,0,0,0,0.31121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31121,0.31121,0,0,0,0,0,0,0,0,-73.45135,44.70943
825,0101000020E61000008675E3DD910553C0FE47A643A7894540,false,false,true,36067014400,360670144003000,1300140154752,67,25,825,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331000,,,,,,3341,13057,2000,824,CONNELL INVESTMENT PTNR,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,ONONDAGA,EAST SYRACUSE,6223 THOMPSON RD,WABASH ALUMINUM ALLOYS LLC SYRACUSE PLANT,13057RTHBR6223T,-76.087028,43.075417,1.08,0,1244.3,0,1238,0,0,0,0,0,6.3,57.17,0,0,0,0,0,0,0,0,0,0,0,0,54.13,0,0,54.13,0,0,0,0,0,3.04,0,0,0,0,3.04,0,-76.087028,43.075417
1071,0101000020E61000000B9C6C03776952C04A7F2F85074F4440,false,false,true,36059416201,360594162012000,1300140388125,,,1071,844749010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221112,,,,,,4911,11558,2000,1070,NATIONAL GRID USA,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,NASSAU,ISLAND PARK,MCCARTHY RD,NATIONAL GRID EF BARRETT POWER STATION,11558FBRRTMCCAR,-73.647889,40.617417,2.5,0,0.19,0,0,0,0,0,0,0,0.19,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0.19,0,-73.647889,40.617417
1097,0101000020E6100000A9DA6E826F7A52C016DC0F7860644440,false,false,true,36081010701,360810107010000,1300140407812,,,1097,110291783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221112,,,,,,4911,11105,2000,1096,US POWER GENERATING CO,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,QUEENS,ASTORIA,18-01 20TH AVE,ASTORIA GENERATING STATION,11105STRGN18012,-73.913056,40.784194,0,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,-73.913056,40.784194
1174,0101000020E61000003DBB7CEBC37D52C0DC0DA2B5A2C94440,false,false,true,36071010102,360710101021000,1300140315781,,,1174,804405074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221112,,,,,,4911,12550,2000,1173,DYNEGY INC,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,ORANGE,NEWBURGH,992 RIVER RD,ROSETON GENERATING FACILITY,12550RSTNG992RA,-73.965083,41.575278,0,0,2.3,0,0,0,0,0,0,0,2.3,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,2.26,0,-73.965083,41.575278
1220,0101000020E6100000D9092FC1A97C52C0344A97FE25614440,false,false,true,36081008500,360810085002000,1300140386451,,,1220,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221112,,,,,,4911,11101,2000,1219,TRANSCANADA LTD,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,QUEENS,LONG ISLAND CITY,38-54 VERNON BLVD,TRANSCANADA RAVENSWOOD POWER STATION,11101CNSLD3854V,-73.947861,40.758972,1.4,0,0.92,0,0,0,0,0,0,0,0.92,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0.92,0,-73.947861,40.758972
1278,0101000020E6100000AF963B33C17552C0894160E5D03E4540,false,false,true,36001014401,360010144011000,1300140457464,,,1278,67568246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327310,,,,,,3241,12143,2000,1277,LAFARGE NORTH AMERICA,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,ALBANY,RAVENA,1916 RT 9W,LAFARGE BUILDING MATERIALS INC,12143BLCRCROUTE,-73.839917,42.49075,0.97,0,1.89,0,0,0,0,0,0,0,1.89,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0,0,0,1.89,0,-73.839917,42.49075
1294,0101000020E61000003FABCC94D62153C033C005D9B2BA4540,false,false,true,36075021602,360750216022000,1300140451004,,,1294,793422213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221112,,,,,,4911,13126,2000,1293,NRG ENERGY INC,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,OSWEGO,OSWEGO,261 WASHINGTON BLVD,OSWEGO HARBOR POWER,13126NGRMH261WA,-76.528722,43.458583,0.24,0,0.26,0,0,0,0,0,0,0,0.26,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0.26,0,-76.528722,43.458583
1326,0101000020E61000001424B6BB07D653C018778368AD3E4540,false,false,true,36013035600,360130356001000,1300140518275,,,1326,793422213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221112,,,,,,4911,14048,2000,1325,NRG ENERGY INC,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,CHAUTAUQUA,DUNKIRK,106 POINT DR N,DUNKIRK STEAM STATION,14048NGRMH106PO,-79.344222,42.489667,1.05,0,0.28,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,-79.344222,42.489667
1403,0101000020E6100000FA08FCE1E7B752C06F9C14E63D784640,false,false,true,36089490100,360894901002000,1300140619103,,,1403,1339472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331312,,,,3355,3354,3334,13662,2000,1402,ALCOA INC,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,ST LAWRENCE,MASSENA,PARK AVE E,ALCOA INC,13662LMNMCPARKA,-74.873528,44.939389,0,0,0.7456,0,0,0,0,0,0,0,0.7456,0.7456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7456,0,0,0,0,0.7456,0,-74.873528,44.939389
1436,0101000020E61000003CA41820D1AF52C017D68D77477E4640,false,false,true,36089490300,360894903006000,1300140630183,,,1436,1339472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331312,,,,,,3334,13662,2000,1435,ALCOA INC,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,ST LAWRENCE,MASSENA,194 COUNTY RT 45,REYNOLDS METALS CO ST LAWRENCE REDUCTION PLANT,13662RYNLDSOUTH,-74.747139,44.986556,0,0,0.1997,0,0,0,0,0,0,0,0.1997,0.1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1997,0,0,0,0,0.1997,0,-74.747139,44.986556
1456,0101000020E6100000F8FD9B17279752C06B44300E2EBB4440,false,false,true,36071011000,360710110004000,1300140555499,,,1456,58678527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331492,,,,,,3341,10941,2000,1455,RSR CORP,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,ORANGE,MIDDLETOWN,65 BALLARD RD,REVERE SMELTING & REFINING CORP,10940RVRSMRD2BA,-74.361761,41.462343,1.27,0,0.241,0,0,0,0,0,0,0,0.241,0.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,0,0,0,0,0.241,0,-74.361761,41.462343
1481,0101000020E6100000D2C3D0EAE44452C0F7562426A8794440,false,false,true,36103158206,361031582061000,1300140701487,,,1481,844749010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221112,,,,,,4911,11777,2000,1480,NATIONAL GRID USA,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,SUFFOLK,PORT JEFFERSON,BEACH ST,NATIONAL GRID  PORT JEFFERSON POWER STATION,11777PRTJFBEECH,-73.076472,40.950444,1.8,0,1.07,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,-73.076472,40.950444
1535,0101000020E610000037894160E56852C03A419B1C3EA74540,false,false,true,36113070500,361130705002000,1300140705308,,,1535,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322121,,,,,2611,2621,12801,2000,1534,FINCH PAPER HOLDINGS,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,WARREN,GLENS FALLS,1 GLEN ST,FINCH PAPER  LLC,12801FNCHP1GLEN,-73.639,43.306583,1.03,0,6.5,0,0,0,0,0,0,0,6.5,6.57,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0,0,3.72,0,0,0,2.85,0,0,0,2.58,0.27,0,-73.639,43.306583
1557,0101000020E6100000FCC56CC9AA5052C009E066F162B34540,false,false,true,36115084000,361150840003000,1300140836103,,,1557,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337122,,,,,2514,2511,12832,2000,1556,,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,WASHINGTON,GRANVILLE,85 CHURCH ST,TELESCOPE CASUAL FURNITURE INC,12832TLSCPCHURC,-73.260424,43.401457,0,0,0.2957,0,0,0,0,0,0,0,0.2957,0.29574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29574,0,0,0,0,0.29574,0,-73.260424,43.401457
1589,0101000020E61000002C0C91D3D76C52C0971E4DF564604540,false,false,true,36001013503,360010135033000,1300140838222,,,1589,154133672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327992,,,,,,3295,12047,2000,1588,UNITED OIL RECOVERY,Grams,R,DIOXIN,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,,,,,,NY,ALBANY,COHOES,628 S SARATOGA ST,NORLITE CORP,12047NRLTC628SO,-73.700673,42.753081,1.08,0,3.464,0,0,0,0,1.732,0,0,1.732,1.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.732,0,0,0,0,1.732,0,-73.700673,42.753081
