,Unnamed: 0,Facility,Degrees,Clustering Coefficient,Betweeness,Closeness,Eigenvector,tri_facility_id,primary_naics,parent_company_name,Community,industry
29,29,BUCKEYE ROCHESTER WEST TERMINAL,127,0.583177102862,0.02105408476,0.59837398374,0.172474904829,14606MRDHS1975L,493190,BUCKEYE ROCHESTER TERMINAL LLC,1,Other Warehousing and Storage
30,30,UNITED METRO ENERGY CORP,127,0.583177102862,0.017638207351,0.59837398374,0.161328112984,11222MTRTR498KI,424710,,1,Petroleum Bulk Stations and Terminals 
31,31,KEYMARK CORP,125,0.418451612903,0.0292145623256,0.597402597403,0.114353351198,12068KYMRKRTE33,331314,KEYMARK CORP,1,Secondary Smelting and Alloying of Aluminum 
32,32,SOMERSET OPERATING CO LLC,125,0.375483870968,0.0337261193567,0.595469255663,0.0347297408665,14012SSMRS7725L,221112,"UPSTATE NEW YORK POWER PRODUCERS,INC.",0,Fossil Fuel Electric Power Generation 
33,33,I3 ELECTRONICS INC,125,0.452387096774,0.0217100505072,0.597402597403,0.0442645095423,13760NDCTT1701N,334412,,0,Bare Printed Circuit Board Manufacturing  
34,34,GLOBE METALLURGICAL INC,122,0.544641647473,0.019241179082,0.576802507837,0.0443090389283,14305SKWLL3801H,331110,GLOBE SPECIALTY METALS INC,3,Iron and Steel Mills and Ferroalloy Manufacturing 
35,35,GOODYEAR DUNLOP TIRE NA LTD,121,0.54132231405,0.0171916687943,0.585055643879,0.0304312139214,14240DNLPT10SHE,326211,THE GOODYEAR TIRE & RUBBER CO,0,Tire Manufacturing (except Retreading) 
36,36,DU PONT NIAGARA FALLS PLANT,120,0.548179271709,0.0169803536002,0.576802507837,0.0319980796293,14302DPNTNBUFFA,325180,E I DU PONT DE NEMOURS & CO,0,Other Basic Inorganic Chemical Manufacturing 
37,37,GRIFFITH ENERGY - PALMYRA,120,0.618767507003,0.012473691215,0.591639871383,0.078746345799,14522GRFFT3849R,424710,SUPERIOR PLUS ENERGY SERVICES INC.,1,Petroleum Bulk Stations and Terminals 
38,38,GRIFFITH ENERGY - WATERTOWN,120,0.618767507003,0.012473691215,0.591639871383,0.078746345799,13601GRFFT21822,424710,SUPERIOR PLUS ENERGY SERVICES INC.,1,Petroleum Bulk Stations and Terminals 
39,39,GRIFFITH ENERGY - LODI,120,0.618767507003,0.012473691215,0.591639871383,0.078746345799,14860GRFFT8571R,424710,SUPERIOR PLUS ENERGY SERVICES INC.,1,Petroleum Bulk Stations and Terminals 
40,40,SABIN METAL CORP,119,0.47343683236,0.0252727165745,0.5888,0.0144721032317,14546SBNMT1647W,331492,SABIN METAL CORP,4,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) "
41,41,CAYUGA OPERATING CO LLC,111,0.437674037674,0.0246383052065,0.573208722741,0.0300040402558,14882SCYGL228MI,221112,"UPSTATE NEW YORK POWER PRODUCERS,INC.",0,Fossil Fuel Electric Power Generation 
42,42,DUREZ NIAGARA,108,0.444963655244,0.0277574921128,0.580441640379,0.0765975003668,14304BTLSP5000P,325211,DUREZ CORP,1,Plastics Material and Resin Manufacturing 
43,43,EASTERN ALLOYS INC,106,0.517699910153,0.0204972349578,0.577708006279,0.010991554542,12543STRNLHENRY,331492,EASTERN ALLOYS INC,4,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) "
44,44,SABIC INNOVATIVE PLASTICS US LLC,104,0.435212845407,0.0244824051404,0.576802507837,0.0446862241124,12158GNRLLNORYL,325211,SABIC US HOLDINGS LP,1,Plastics Material and Resin Manufacturing 
45,45,MORTON SALT,101,0.569306930693,0.0202242275481,0.57231726283,0.013684336956,14550MRTNS45RIB,311942,MORTON SALT INC,4,Spice and Extract Manufacturing 
46,46,VANDEMARK CHEMICAL INC,101,0.518811881188,0.0190210901008,0.574102964119,0.0693389409044,14094VNDMR1NORT,325199,,1,All Other Basic Organic Chemical Manufacturing 
47,47,CONSOLIDATED EDISON CO OF NEW YORK - EAST RIVER FACILITY,99,0.644403215832,0.0141123742566,0.556732223903,0.0377954703367,10009CNSLD801E1,221112,,3,Fossil Fuel Electric Power Generation 
48,48,TRANSCANADA RAVENSWOOD POWER STATION,99,0.644403215832,0.0141123742566,0.556732223903,0.0377954703367,11101CNSLD3854V,221112,TRANSCANADA LTD,3,Fossil Fuel Electric Power Generation 
49,49,NATIONAL GRID  PORT JEFFERSON POWER STATION,99,0.644403215832,0.0141123742566,0.556732223903,0.0377954703367,11777PRTJFBEECH,221112,NATIONAL GRID USA,3,Fossil Fuel Electric Power Generation 
50,50,BUCKEYE TERMINALS LLC - ROSETON TERMINAL,99,0.682951968666,0.0114073501674,0.571428571429,0.0849057861389,12550MRDHS590RI,493190,BUCKEYE TERMINALS LLC,1,Other Warehousing and Storage
51,51,GOULDS PUMPS ADMINISTRATION INC,96,0.482675438596,0.0221495148587,0.568778979907,0.0353430957719,13148GLDSP240FA,333911,ITT CORP,4,Pump and Pumping Equipment Manufacturing 
52,52,METALLIZED CARBON CORP,96,0.64298245614,0.0125090144495,0.563552833078,0.0243117131137,10562MTLLZ19SOU,339999,,3,All Other Miscellaneous Manufacturing 
53,53,GENERAL ELECTRIC CO CPQP,96,0.610745614035,0.0178167547042,0.563552833078,0.00969448785803,12328GNRLL381UP,335999,GENERAL ELECTRIC CO (GE CO),4,All Other Miscellaneous Electrical Equipment and Component Manufacturing 
54,54,SI GROUP INC,96,0.452850877193,0.0271673103001,0.568778979907,0.0753175263611,12150SCHNC1000M,325211,SI GROUP INC,1,Plastics Material and Resin Manufacturing 
55,55,GLOBALFOUNDRIES FAB 8,96,0.394298245614,0.0267930488044,0.568778979907,0.0193351121078,1202WGLBLF4STNE,334413,GLOBALFOUNDRIES U.S. INC.,0,Semiconductor and Related Device Manufacturing 
56,56,TONOGA INC DBA TACONIC,93,0.568957456755,0.017787583601,0.566153846154,0.0827916660707,12138TCNCPCOONB,313320,,1,Fabric Coating Mills
57,57,LAFARGE BUILDING MATERIALS INC,91,0.547252747253,0.0155305808764,0.55421686747,0.0177969977594,12143BLCRCROUTE,327310,LAFARGE N.A. INC,0,Cement Manufacturing
58,58,OSWEGO HARBOR POWER,89,0.7208886619,0.0109265639014,0.545994065282,0.037307590248,13126NGRMH261WA,221112,NRG ENERGY INC,3,Fossil Fuel Electric Power Generation 
59,59,NOCO ENERGY CORP,89,0.643003064351,0.0193197443471,0.563552833078,0.168712772327,14150NCNRG700GR,424710,NOCO ENERGY CORP,1,Petroleum Bulk Stations and Terminals 
60,60,ASTORIA GENERATING STATION,88,0.763845350052,0.00941260069853,0.55842185129,0.0542153541804,11105STRGN18012,221112,US POWER GENERATING CO,3,Fossil Fuel Electric Power Generation 
61,61,KERRY BIO-SCIENCE,88,0.599007314525,0.0109254607889,0.562691131498,0.0334010422991,13815SHFFLWOODS,311514,KERRY INC.,1,"Dry, Condensed, and Evaporated Dairy Product Manufacturing "
62,62,METALICO ALUMINUM RECOVERY INC,88,0.691222570533,0.0138672613312,0.556732223903,0.00924126702993,13206RTHBR6223T,331314,METALICO INC,4,Secondary Smelting and Alloying of Aluminum 
63,63,LOCKHEED MARTIN MST,88,0.548066875653,0.0168141436226,0.555891238671,0.0139496512917,13827BMSYSROUTE,334511,LOCKHEED MARTIN CORP,0,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing "
64,64,TITANX ENGINE COOLING INC,87,0.703020582732,0.01286293383,0.555891238671,0.00865782950684,14701BLCKS1111A,336390,,4,Other Motor Vehicle Parts Manufacturing
65,65,ANOPLATE CORP,85,0.534453781513,0.0207391705625,0.55842185129,0.0101725844696,13204NPLTC459PU,332813,,0,"Electroplating, Plating, Polishing, Anodizing, and Coloring "
66,66,ROCHESTER SILVER WORKS LLC,84,0.570281124498,0.0148145876746,0.545994065282,0.0128763959007,1461WRCHST681RI,331492,,0,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) "
67,67,MOTIVA LONG ISLAND TERMINAL,83,0.68439612107,0.0183176465662,0.549253731343,0.143405354573,11559MTVNT74EAV,424710,MOTIVA ENTERPRISES LLC,1,Petroleum Bulk Stations and Terminals 
68,68,CUTCO CUTLERY CORP,83,0.735821334117,0.011731005542,0.540381791483,0.00673233212605,14760LCSCT1116E,332215,CUTCO CORP,4,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing "
69,69,SYRACUSE ENERGY CORP,83,0.582427270056,0.0165073844371,0.546805349183,0.0230558155581,13204FBRTK56IND,221112,GDF SUEZ ENERGY N.A.,0,Fossil Fuel Electric Power Generation 
70,70,VON ROLL USA INC,82,0.68051791629,0.0216157524098,0.548435171386,0.104250803061,12306NSLTNONECA,327999,VON ROLL AG,1,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing 
71,71,INDUSTRIAL FINISHING PRODUCTS,82,0.685034628124,0.0124224050516,0.557575757576,0.0697174049726,11208NDSTR465LO,325510,INDUSTRIAL FINISHING PRODUCTS,1,Paint and Coating Manufacturing
72,72,SUNOCO FULTON ETHANOL PLANT,82,0.684733514002,0.0123329722486,0.559270516717,0.0673450986698,1306WSNCFL376WE,325193,SUNOCO INC,1,Ethyl Alcohol Manufacturing 
73,73,NATIONAL GRID  NORTHPORT POWER STATION,81,0.81049382716,0.00948755200474,0.537226277372,0.036692867985,11768NRTHPWATER,221112,NATIONAL GRID USA,3,Fossil Fuel Electric Power Generation 
74,74,PRIDE SOLVENT & CHEMICAL CO OF NY INC,81,0.663580246914,0.0122587360236,0.556732223903,0.0576662005592,11742PRDSL6LONG,424690,PRIDE SOLVENTS & CHEMICAL CO,1,Other Chemical and Allied Products Merchant Wholesalers 
75,75,SCHWEITZER-MAUDUIT INTERNATIONAL INC,81,0.81049382716,0.00948755200473,0.537226277372,0.036692867985,12502SCHWT2424R,322121,SCHWEITZER-MAUDUIT INTERNATIONAL INC,3,Paper (except Newsprint) Mills 
76,76,REVERE COPPER PRODUCTS INC,80,0.544303797468,0.0148022217822,0.553383458647,0.0128646674643,13440RVRCPSENEC,331420,,0,"Copper Rolling, Drawing, Extruding, and Alloying"
77,77,REMINGTON ARMS CO INC,79,0.58747160013,0.0123917764051,0.551724137931,0.0108423327042,13357DPNTRCLARK,332994,REMINGTON ARMS CO INC,0,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing "
78,78,CYTEC OLEAN INC,79,0.676728334956,0.0137258031331,0.555052790347,0.0624003132197,14760CNPNC1405B,325211,CYTEC INDUSTRIES INC,1,Plastics Material and Resin Manufacturing 
79,79,PEROXYCHEM LLC,78,0.642690642691,0.0108798104551,0.538799414348,0.0116728500058,14150FMCCR37SAW,325180,PEROXYCHEM LLC,0,Other Basic Inorganic Chemical Manufacturing 
