,nonReportChem,Community,Facility,primary_naics,industry,num_reporting
4,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,HUNTLEY GENERATING STATION,221112,Fossil Fuel Electric Power Generation ,4
5,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,DUNKIRK STEAM STATION,221112,Fossil Fuel Electric Power Generation ,4
9,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,CAITHNESS LONG ISLAND ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,4
10,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,INDECK-CORINTH ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,4
12,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,INDECK-OLEAN ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,4
13,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,PSEG POWER NY LLC BETHLEHEM ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,4
14,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,BROOKLYN NAVY YARD COGENERATION FACILITY,221112,Fossil Fuel Electric Power Generation ,4
15,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,GLENWOOD LANDING ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,4
16,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,221112,Fossil Fuel Electric Power Generation ,4
19,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,KNOWLTON TECHNOLOGIES LLC,322121,Paper (except Newsprint) Mills ,2
0,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,DU PONT NIAGARA FALLS PLANT,325180,Other Basic Inorganic Chemical Manufacturing ,1
1,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,LAFARGE BUILDING MATERIALS INC,327310,Cement Manufacturing,1
2,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,ROCHESTER SILVER WORKS LLC,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
3,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,PEROXYCHEM LLC,325180,Other Basic Inorganic Chemical Manufacturing ,1
6,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,PVS CHEMICAL SOLUTIONS,325180,Other Basic Inorganic Chemical Manufacturing ,1
7,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,AMES GOLDSMITH CORP,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
8,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,CHEMTRADE SOLUTIONS - SYRACUSE,325180,Other Basic Inorganic Chemical Manufacturing ,1
11,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,SAINT GOBAIN CORP ADVA NCED CERAMICS,325180,Other Basic Inorganic Chemical Manufacturing ,1
17,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,OLIN CORP,325180,Other Basic Inorganic Chemical Manufacturing ,1
18,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,EVONIK INDUSTRIES,325180,Other Basic Inorganic Chemical Manufacturing ,1
20,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,THATCHER CO OF NEW YORK,325180,Other Basic Inorganic Chemical Manufacturing ,1
21,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,MATERION ADVANCED MATERIALS TECHNOLOGIES & SERVICES INC,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
22,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,VANCHLOR CO INC,325180,Other Basic Inorganic Chemical Manufacturing ,1
23,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0,ALLVAC - LOCKPORT PLANT,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
0,DIPHENYLAMINE,0,ARCH CHEMICALS INC,325199,All Other Basic Organic Chemical Manufacturing ,1
1,DIPHENYLAMINE,0,EVANS CHEMETICS LP,325199,All Other Basic Organic Chemical Manufacturing ,1
2,DIPHENYLAMINE,0,ISLECHEM LLC,325199,All Other Basic Organic Chemical Manufacturing ,1
3,DIPHENYLAMINE,0,MOMENTIVE SPECIALTY CHEMICALS INC - MOREAU FACILITY,325199,All Other Basic Organic Chemical Manufacturing ,1
4,DIPHENYLAMINE,0,UNITED BIOCHEMICALS,325199,All Other Basic Organic Chemical Manufacturing ,1
5,DIPHENYLAMINE,0,NIACET CORP,325199,All Other Basic Organic Chemical Manufacturing ,1
8,ETHYLENE,0,ELECTRONIC DEVICES INC,334413,Semiconductor and Related Device Manufacturing ,2
19,ETHYLENE,0,TRUESENSE IMAGING INC,334413,Semiconductor and Related Device Manufacturing ,2
0,ETHYLENE,0,DU PONT NIAGARA FALLS PLANT,325180,Other Basic Inorganic Chemical Manufacturing ,1
1,ETHYLENE,0,PEROXYCHEM LLC,325180,Other Basic Inorganic Chemical Manufacturing ,1
2,ETHYLENE,0,ARCH CHEMICALS INC,325199,All Other Basic Organic Chemical Manufacturing ,1
3,ETHYLENE,0,PPG INDUSTRIES INC,325510,Paint and Coating Manufacturing,1
4,ETHYLENE,0,"ASTRO ELECTROPLATING,INC",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
5,ETHYLENE,0,PRECIOUS PLATE INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
6,ETHYLENE,0,PVS CHEMICAL SOLUTIONS,325180,Other Basic Inorganic Chemical Manufacturing ,1
7,ETHYLENE,0,GENERAL SUPER PLATING CO,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
9,ETHYLENE,0,CHEMTRADE SOLUTIONS - SYRACUSE,325180,Other Basic Inorganic Chemical Manufacturing ,1
10,ETHYLENE,0,SAINT GOBAIN CORP ADVA NCED CERAMICS,325180,Other Basic Inorganic Chemical Manufacturing ,1
11,ETHYLENE,0,OLIN CORP,325180,Other Basic Inorganic Chemical Manufacturing ,1
12,ETHYLENE,0,EVONIK INDUSTRIES,325180,Other Basic Inorganic Chemical Manufacturing ,1
13,ETHYLENE,0,ISLECHEM LLC,325199,All Other Basic Organic Chemical Manufacturing ,1
14,ETHYLENE,0,THATCHER CO OF NEW YORK,325180,Other Basic Inorganic Chemical Manufacturing ,1
15,ETHYLENE,0,AMSTERDAM PRINTING & LITHO,323111,Commercial Printing (except Screen and Books) ,1
16,ETHYLENE,0,TRIPLE CITIES METAL FINISHING CORP,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
17,ETHYLENE,0,MOMENTIVE SPECIALTY CHEMICALS INC - MOREAU FACILITY,325199,All Other Basic Organic Chemical Manufacturing ,1
18,ETHYLENE,0,UNITED BIOCHEMICALS,325199,All Other Basic Organic Chemical Manufacturing ,1
20,ETHYLENE,0,BENJAMIN MOORE & CO JOHNSTOWN,325510,Paint and Coating Manufacturing,1
21,ETHYLENE,0,HAMMER PACKAGING CORP,323111,Commercial Printing (except Screen and Books) ,1
22,ETHYLENE,0,JAMESTOWN ELECTRO PLATING WORKS INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
23,ETHYLENE,0,VANCHLOR CO INC,325180,Other Basic Inorganic Chemical Manufacturing ,1
24,ETHYLENE,0,GOODYEAR TIRE & RUBBER CO,325199,All Other Basic Organic Chemical Manufacturing ,1
25,ETHYLENE,0,NIACET CORP,325199,All Other Basic Organic Chemical Manufacturing ,1
26,ETHYLENE,0,HARTCHROM INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",1
2,ETHYLENE GLYCOL,0,ELECTRONIC DEVICES INC,334413,Semiconductor and Related Device Manufacturing ,2
7,ETHYLENE GLYCOL,0,TRUESENSE IMAGING INC,334413,Semiconductor and Related Device Manufacturing ,2
0,ETHYLENE GLYCOL,0,ARCH CHEMICALS INC,325199,All Other Basic Organic Chemical Manufacturing ,1
1,ETHYLENE GLYCOL,0,PPG INDUSTRIES INC,325510,Paint and Coating Manufacturing,1
3,ETHYLENE GLYCOL,0,ISLECHEM LLC,325199,All Other Basic Organic Chemical Manufacturing ,1
4,ETHYLENE GLYCOL,0,AMSTERDAM PRINTING & LITHO,323111,Commercial Printing (except Screen and Books) ,1
5,ETHYLENE GLYCOL,0,MOMENTIVE SPECIALTY CHEMICALS INC - MOREAU FACILITY,325199,All Other Basic Organic Chemical Manufacturing ,1
6,ETHYLENE GLYCOL,0,UNITED BIOCHEMICALS,325199,All Other Basic Organic Chemical Manufacturing ,1
8,ETHYLENE GLYCOL,0,BENJAMIN MOORE & CO JOHNSTOWN,325510,Paint and Coating Manufacturing,1
9,ETHYLENE GLYCOL,0,HAMMER PACKAGING CORP,323111,Commercial Printing (except Screen and Books) ,1
10,ETHYLENE GLYCOL,0,GOODYEAR TIRE & RUBBER CO,325199,All Other Basic Organic Chemical Manufacturing ,1
11,ETHYLENE GLYCOL,0,NIACET CORP,325199,All Other Basic Organic Chemical Manufacturing ,1
0,FLUORINE,0,ELECTRONIC DEVICES INC,334413,Semiconductor and Related Device Manufacturing ,2
1,FLUORINE,0,TRUESENSE IMAGING INC,334413,Semiconductor and Related Device Manufacturing ,2
0,FORMALDEHYDE,0,FINCH PAPER  LLC,322121,Paper (except Newsprint) Mills ,2
6,FORMALDEHYDE,0,METAL CONTAINER CORP - NEWBURGH CAN PLANT,332431,Metal Can Manufacturing ,2
10,FORMALDEHYDE,0,SENECA FOODS CORP CAN PLANT,332431,Metal Can Manufacturing ,2
1,FORMALDEHYDE,0,I3 ELECTRONICS INC,334412,Bare Printed Circuit Board Manufacturing  ,1
2,FORMALDEHYDE,0,ROCHESTER SILVER WORKS LLC,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
3,FORMALDEHYDE,0,ARCH CHEMICALS INC,325199,All Other Basic Organic Chemical Manufacturing ,1
4,FORMALDEHYDE,0,REVERE SMELTING & REFINING CORP,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
5,FORMALDEHYDE,0,EVANS CHEMETICS LP,325199,All Other Basic Organic Chemical Manufacturing ,1
7,FORMALDEHYDE,0,ISLECHEM LLC,325199,All Other Basic Organic Chemical Manufacturing ,1
8,FORMALDEHYDE,0,MATERION ADVANCED MATERIALS TECHNOLOGIES & SERVICES INC,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
9,FORMALDEHYDE,0,UNITED BIOCHEMICALS,325199,All Other Basic Organic Chemical Manufacturing ,1
11,FORMALDEHYDE,0,GOODYEAR TIRE & RUBBER CO,325199,All Other Basic Organic Chemical Manufacturing ,1
12,FORMALDEHYDE,0,ALLVAC - LOCKPORT PLANT,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1
13,FORMALDEHYDE,0,NIACET CORP,325199,All Other Basic Organic Chemical Manufacturing ,1
0,FORMIC ACID,0,RED-ROCHESTER LLC - EASTMAN BUSINESS PARK,221112,Fossil Fuel Electric Power Generation ,1
1,FORMIC ACID,0,SOMERSET OPERATING CO LLC,221112,Fossil Fuel Electric Power Generation ,1
2,FORMIC ACID,0,SYRACUSE ENERGY CORP,221112,Fossil Fuel Electric Power Generation ,1
3,FORMIC ACID,0,HUNTLEY GENERATING STATION,221112,Fossil Fuel Electric Power Generation ,1
4,FORMIC ACID,0,DUNKIRK STEAM STATION,221112,Fossil Fuel Electric Power Generation ,1
5,FORMIC ACID,0,CAITHNESS LONG ISLAND ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
6,FORMIC ACID,0,INDECK-CORINTH ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
7,FORMIC ACID,0,INDECK-OLEAN ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
8,FORMIC ACID,0,PSEG POWER NY LLC BETHLEHEM ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
9,FORMIC ACID,0,BROOKLYN NAVY YARD COGENERATION FACILITY,221112,Fossil Fuel Electric Power Generation ,1
10,FORMIC ACID,0,GLENWOOD LANDING ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,1
11,FORMIC ACID,0,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,221112,Fossil Fuel Electric Power Generation ,1
0,HEXACHLOROCYCLOPENTADIENE,0,DU PONT NIAGARA FALLS PLANT,325180,Other Basic Inorganic Chemical Manufacturing ,1
1,HEXACHLOROCYCLOPENTADIENE,0,PEROXYCHEM LLC,325180,Other Basic Inorganic Chemical Manufacturing ,1
2,HEXACHLOROCYCLOPENTADIENE,0,PVS CHEMICAL SOLUTIONS,325180,Other Basic Inorganic Chemical Manufacturing ,1
3,HEXACHLOROCYCLOPENTADIENE,0,CHEMTRADE SOLUTIONS - SYRACUSE,325180,Other Basic Inorganic Chemical Manufacturing ,1
4,HEXACHLOROCYCLOPENTADIENE,0,SAINT GOBAIN CORP ADVA NCED CERAMICS,325180,Other Basic Inorganic Chemical Manufacturing ,1
5,HEXACHLOROCYCLOPENTADIENE,0,OLIN CORP,325180,Other Basic Inorganic Chemical Manufacturing ,1
6,HEXACHLOROCYCLOPENTADIENE,0,EVONIK INDUSTRIES,325180,Other Basic Inorganic Chemical Manufacturing ,1
7,HEXACHLOROCYCLOPENTADIENE,0,THATCHER CO OF NEW YORK,325180,Other Basic Inorganic Chemical Manufacturing ,1
8,HEXACHLOROCYCLOPENTADIENE,0,VANCHLOR CO INC,325180,Other Basic Inorganic Chemical Manufacturing ,1
0,HYDROGEN FLUORIDE,0,RED-ROCHESTER LLC - EASTMAN BUSINESS PARK,221112,Fossil Fuel Electric Power Generation ,3
1,HYDROGEN FLUORIDE,0,SYRACUSE ENERGY CORP,221112,Fossil Fuel Electric Power Generation ,3
2,HYDROGEN FLUORIDE,0,DUNKIRK STEAM STATION,221112,Fossil Fuel Electric Power Generation ,3
4,HYDROGEN FLUORIDE,0,CAITHNESS LONG ISLAND ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,3
5,HYDROGEN FLUORIDE,0,INDECK-CORINTH ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,3
6,HYDROGEN FLUORIDE,0,INDECK-OLEAN ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,3
7,HYDROGEN FLUORIDE,0,PSEG POWER NY LLC BETHLEHEM ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,3
8,HYDROGEN FLUORIDE,0,BROOKLYN NAVY YARD COGENERATION FACILITY,221112,Fossil Fuel Electric Power Generation ,3
9,HYDROGEN FLUORIDE,0,GLENWOOD LANDING ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,3
10,HYDROGEN FLUORIDE,0,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,221112,Fossil Fuel Electric Power Generation ,3
11,HYDROGEN FLUORIDE,0,TRUESENSE IMAGING INC,334413,Semiconductor and Related Device Manufacturing ,3
3,HYDROGEN FLUORIDE,0,METAL CONTAINER CORP - NEWBURGH CAN PLANT,332431,Metal Can Manufacturing ,2
12,HYDROGEN FLUORIDE,0,SENECA FOODS CORP CAN PLANT,332431,Metal Can Manufacturing ,2
13,HYDROGEN FLUORIDE,0,RHI MONOFRAX LLC,327120,Clay Building Material and Refractories Manufacturing ,1
0,HYDROGEN SULFIDE,0,FINCH PAPER  LLC,322121,Paper (except Newsprint) Mills ,1
1,HYDROGEN SULFIDE,0,ARCH CHEMICALS INC,325199,All Other Basic Organic Chemical Manufacturing ,1
2,HYDROGEN SULFIDE,0,KNOWLTON TECHNOLOGIES LLC,322121,Paper (except Newsprint) Mills ,1
3,HYDROGEN SULFIDE,0,ISLECHEM LLC,325199,All Other Basic Organic Chemical Manufacturing ,1
4,HYDROGEN SULFIDE,0,MOMENTIVE SPECIALTY CHEMICALS INC - MOREAU FACILITY,325199,All Other Basic Organic Chemical Manufacturing ,1
5,HYDROGEN SULFIDE,0,UNITED BIOCHEMICALS,325199,All Other Basic Organic Chemical Manufacturing ,1
6,HYDROGEN SULFIDE,0,GOODYEAR TIRE & RUBBER CO,325199,All Other Basic Organic Chemical Manufacturing ,1
7,HYDROGEN SULFIDE,0,NIACET CORP,325199,All Other Basic Organic Chemical Manufacturing ,1
0,HYDROQUINONE,0,ARCH CHEMICALS INC,325199,All Other Basic Organic Chemical Manufacturing ,1
1,HYDROQUINONE,0,EVANS CHEMETICS LP,325199,All Other Basic Organic Chemical Manufacturing ,1
2,HYDROQUINONE,0,ISLECHEM LLC,325199,All Other Basic Organic Chemical Manufacturing ,1
3,HYDROQUINONE,0,MOMENTIVE SPECIALTY CHEMICALS INC - MOREAU FACILITY,325199,All Other Basic Organic Chemical Manufacturing ,1
4,HYDROQUINONE,0,UNITED BIOCHEMICALS,325199,All Other Basic Organic Chemical Manufacturing ,1
5,HYDROQUINONE,0,NIACET CORP,325199,All Other Basic Organic Chemical Manufacturing ,1
8,LEAD,0,CAITHNESS LONG ISLAND ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
9,LEAD,0,INDECK-CORINTH ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
11,LEAD,0,INDECK-OLEAN ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
12,LEAD,0,PSEG POWER NY LLC BETHLEHEM ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
13,LEAD,0,BROOKLYN NAVY YARD COGENERATION FACILITY,221112,Fossil Fuel Electric Power Generation ,6
14,LEAD,0,GLENWOOD LANDING ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
15,LEAD,0,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,221112,Fossil Fuel Electric Power Generation ,6
1,LEAD,0,"ASTRO ELECTROPLATING,INC",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
2,LEAD,0,PVS CHEMICAL SOLUTIONS,325180,Other Basic Inorganic Chemical Manufacturing ,2
3,LEAD,0,GENERAL SUPER PLATING CO,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
5,LEAD,0,AMES GOLDSMITH CORP,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",2
6,LEAD,0,CHEMTRADE SOLUTIONS - SYRACUSE,325180,Other Basic Inorganic Chemical Manufacturing ,2
7,LEAD,0,SAINT GOBAIN INDUSTRIAL CERAMIC INC,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ,2
10,LEAD,0,SAINT GOBAIN CORP ADVA NCED CERAMICS,325180,Other Basic Inorganic Chemical Manufacturing ,2
16,LEAD,0,OLIN CORP,325180,Other Basic Inorganic Chemical Manufacturing ,2
17,LEAD,0,EVONIK INDUSTRIES,325180,Other Basic Inorganic Chemical Manufacturing ,2
18,LEAD,0,KNOWLTON TECHNOLOGIES LLC,322121,Paper (except Newsprint) Mills ,2
19,LEAD,0,OCCIDENTAL CHEMICAL CORP NIAGARA PLANT,325180,Other Basic Inorganic Chemical Manufacturing ,2
20,LEAD,0,THATCHER CO OF NEW YORK,325180,Other Basic Inorganic Chemical Manufacturing ,2
21,LEAD,0,TRIPLE CITIES METAL FINISHING CORP,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
22,LEAD,0,MATERION ADVANCED MATERIALS TECHNOLOGIES & SERVICES INC,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",2
25,LEAD,0,JAMESTOWN ELECTRO PLATING WORKS INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
26,LEAD,0,VANCHLOR CO INC,325180,Other Basic Inorganic Chemical Manufacturing ,2
28,LEAD,0,ALLVAC - LOCKPORT PLANT,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",2
29,LEAD,0,HARTCHROM INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
0,LEAD,0,GLOBALFOUNDRIES FAB 8,334413,Semiconductor and Related Device Manufacturing ,1
4,LEAD,0,ELECTRONIC DEVICES INC,334413,Semiconductor and Related Device Manufacturing ,1
23,LEAD,0,TRUESENSE IMAGING INC,334413,Semiconductor and Related Device Manufacturing ,1
24,LEAD,0,BENJAMIN MOORE & CO JOHNSTOWN,325510,Paint and Coating Manufacturing,1
27,LEAD,0,KEMPER SYSTEM AMERICA INC,325510,Paint and Coating Manufacturing,1
6,LEAD COMPOUNDS,0,CAITHNESS LONG ISLAND ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
7,LEAD COMPOUNDS,0,INDECK-CORINTH ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
9,LEAD COMPOUNDS,0,INDECK-OLEAN ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
10,LEAD COMPOUNDS,0,PSEG POWER NY LLC BETHLEHEM ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
11,LEAD COMPOUNDS,0,BROOKLYN NAVY YARD COGENERATION FACILITY,221112,Fossil Fuel Electric Power Generation ,6
12,LEAD COMPOUNDS,0,GLENWOOD LANDING ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
13,LEAD COMPOUNDS,0,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,221112,Fossil Fuel Electric Power Generation ,6
0,LEAD COMPOUNDS,0,"ASTRO ELECTROPLATING,INC",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
1,LEAD COMPOUNDS,0,PVS CHEMICAL SOLUTIONS,325180,Other Basic Inorganic Chemical Manufacturing ,2
2,LEAD COMPOUNDS,0,GENERAL SUPER PLATING CO,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
3,LEAD COMPOUNDS,0,AMES GOLDSMITH CORP,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",2
4,LEAD COMPOUNDS,0,CHEMTRADE SOLUTIONS - SYRACUSE,325180,Other Basic Inorganic Chemical Manufacturing ,2
5,LEAD COMPOUNDS,0,SAINT GOBAIN INDUSTRIAL CERAMIC INC,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ,2
8,LEAD COMPOUNDS,0,SAINT GOBAIN CORP ADVA NCED CERAMICS,325180,Other Basic Inorganic Chemical Manufacturing ,2
14,LEAD COMPOUNDS,0,OLIN CORP,325180,Other Basic Inorganic Chemical Manufacturing ,2
15,LEAD COMPOUNDS,0,EVONIK INDUSTRIES,325180,Other Basic Inorganic Chemical Manufacturing ,2
16,LEAD COMPOUNDS,0,KNOWLTON TECHNOLOGIES LLC,322121,Paper (except Newsprint) Mills ,2
17,LEAD COMPOUNDS,0,OCCIDENTAL CHEMICAL CORP NIAGARA PLANT,325180,Other Basic Inorganic Chemical Manufacturing ,2
18,LEAD COMPOUNDS,0,THATCHER CO OF NEW YORK,325180,Other Basic Inorganic Chemical Manufacturing ,2
19,LEAD COMPOUNDS,0,TRIPLE CITIES METAL FINISHING CORP,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
20,LEAD COMPOUNDS,0,MATERION ADVANCED MATERIALS TECHNOLOGIES & SERVICES INC,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",2
22,LEAD COMPOUNDS,0,JAMESTOWN ELECTRO PLATING WORKS INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
23,LEAD COMPOUNDS,0,VANCHLOR CO INC,325180,Other Basic Inorganic Chemical Manufacturing ,2
25,LEAD COMPOUNDS,0,ALLVAC - LOCKPORT PLANT,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",2
26,LEAD COMPOUNDS,0,HARTCHROM INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2
21,LEAD COMPOUNDS,0,BENJAMIN MOORE & CO JOHNSTOWN,325510,Paint and Coating Manufacturing,1
24,LEAD COMPOUNDS,0,KEMPER SYSTEM AMERICA INC,325510,Paint and Coating Manufacturing,1
0,MANGANESE,0,RED-ROCHESTER LLC - EASTMAN BUSINESS PARK,221112,Fossil Fuel Electric Power Generation ,3
1,MANGANESE,0,HUNTLEY GENERATING STATION,221112,Fossil Fuel Electric Power Generation ,3
2,MANGANESE,0,DUNKIRK STEAM STATION,221112,Fossil Fuel Electric Power Generation ,3
4,MANGANESE,0,CAITHNESS LONG ISLAND ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,3
5,MANGANESE,0,INDECK-CORINTH ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,3
6,MANGANESE,0,INDECK-OLEAN ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,3
7,MANGANESE,0,PSEG POWER NY LLC BETHLEHEM ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,3
8,MANGANESE,0,BROOKLYN NAVY YARD COGENERATION FACILITY,221112,Fossil Fuel Electric Power Generation ,3
9,MANGANESE,0,GLENWOOD LANDING ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,3
10,MANGANESE,0,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,221112,Fossil Fuel Electric Power Generation ,3
11,MANGANESE,0,KNOWLTON TECHNOLOGIES LLC,322121,Paper (except Newsprint) Mills ,2
3,MANGANESE,0,REPUBLIC STEEL -  LACKAWANNA,331110,Iron and Steel Mills and Ferroalloy Manufacturing ,1
0,MANGANESE COMPOUNDS,0,RED-ROCHESTER LLC - EASTMAN BUSINESS PARK,221112,Fossil Fuel Electric Power Generation ,3
1,MANGANESE COMPOUNDS,0,HUNTLEY GENERATING STATION,221112,Fossil Fuel Electric Power Generation ,3
2,MANGANESE COMPOUNDS,0,DUNKIRK STEAM STATION,221112,Fossil Fuel Electric Power Generation ,3
4,MANGANESE COMPOUNDS,0,CAITHNESS LONG ISLAND ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,3
5,MANGANESE COMPOUNDS,0,INDECK-CORINTH ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,3
6,MANGANESE COMPOUNDS,0,INDECK-OLEAN ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,3
7,MANGANESE COMPOUNDS,0,PSEG POWER NY LLC BETHLEHEM ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,3
8,MANGANESE COMPOUNDS,0,BROOKLYN NAVY YARD COGENERATION FACILITY,221112,Fossil Fuel Electric Power Generation ,3
9,MANGANESE COMPOUNDS,0,GLENWOOD LANDING ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,3
10,MANGANESE COMPOUNDS,0,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,221112,Fossil Fuel Electric Power Generation ,3
11,MANGANESE COMPOUNDS,0,KNOWLTON TECHNOLOGIES LLC,322121,Paper (except Newsprint) Mills ,2
3,MANGANESE COMPOUNDS,0,REPUBLIC STEEL -  LACKAWANNA,331110,Iron and Steel Mills and Ferroalloy Manufacturing ,1
1,MERCURY,0,CAITHNESS LONG ISLAND ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
2,MERCURY,0,INDECK-CORINTH ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
3,MERCURY,0,INDECK-OLEAN ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
4,MERCURY,0,PSEG POWER NY LLC BETHLEHEM ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
5,MERCURY,0,BROOKLYN NAVY YARD COGENERATION FACILITY,221112,Fossil Fuel Electric Power Generation ,6
6,MERCURY,0,GLENWOOD LANDING ENERGY CENTER,221112,Fossil Fuel Electric Power Generation ,6
